Epoch,Avg Train Loss,Actions Acc,Looks Acc,Crosses Acc,Val Loss,Overall Val Acc
1,0.9047,0.5953,0.7906,0.8865,1.5761,0.7574
2,0.7871,0.6172,0.8744,0.8848,1.4744,0.7922
3,0.7341,0.6049,0.8364,0.9749,1.6088,0.8054
4,0.7021,0.5957,0.4668,0.9553,1.7743,0.6726
5,0.6444,0.6194,0.7657,0.9322,1.553,0.7724
6,0.5926,0.6086,0.8122,0.9427,1.3434,0.7878
7,0.5316,0.6383,0.7367,0.9387,1.441,0.7713
8,0.5012,0.6217,0.8658,0.9697,1.5073,0.8191
9,0.4595,0.5767,0.7097,0.9527,1.5508,0.7463
10,0.4682,0.6695,0.8122,0.945,1.3426,0.8089
11,0.4436,0.6935,0.8052,0.9452,1.453,0.8146
12,0.4206,0.6548,0.7188,0.97,1.401,0.7812
13,0.4085,0.6801,0.8122,0.9542,1.2661,0.8155
14,0.3995,0.613,0.8434,0.9728,1.6765,0.8098
15,0.3863,0.6657,0.8491,0.9637,1.3158,0.8261
16,0.3782,0.6768,0.6057,0.9151,1.8328,0.7326
17,0.3867,0.6771,0.8023,0.9539,1.345,0.8111
18,0.3791,0.683,0.8365,0.972,1.2439,0.8305
19,0.3665,0.6921,0.7731,0.9707,1.3069,0.812
20,0.3648,0.6736,0.8277,0.9368,1.4248,0.8127
21,0.359,0.6763,0.7811,0.9591,1.2996,0.8055
22,0.3745,0.6962,0.7455,0.9666,1.3309,0.8028
23,0.3655,0.6758,0.6574,0.9689,1.575,0.7674
24,0.3622,0.7,0.8017,0.9515,1.3875,0.8177
25,0.376,0.6961,0.8034,0.9532,1.34,0.8176
26,0.372,0.7051,0.737,0.9588,1.3902,0.8003
27,0.3734,0.6986,0.7648,0.9721,1.3135,0.8119
28,0.3817,0.6518,0.7417,0.9626,1.432,0.7853
29,0.3775,0.7057,0.8169,0.952,1.3126,0.8248
30,0.3795,0.6987,0.7851,0.9573,1.3244,0.8137
